,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color
5121,0,2019.0,8,1254,6,8,2,88741.94803113553,0,0,3,13,12
3835,26400,2013.0,17,2248,0,5,2,90120.0,0,0,0,12,0
7663,31988,2017.0,34,1696,6,8,2,5546.0,0,0,0,0,5
4536,12890,2017.0,5,945,3,6,2,147323.0,0,0,2,11,10
8262,25890,2019.0,32,1575,6,8,2,16807.0,0,0,0,12,12
8009,26194,2019.0,14,2171,6,3,2,13673.0,0,0,0,0,0
9215,15784,2015.0,5,2221,6,3,3,37823.0,0,0,1,9,5
3070,37350,2016.0,11,949,6,5,2,57838.0,0,0,0,8,0
5553,19900,2017.0,37,1527,6,3,2,15689.0,6,0,1,11,0
4092,33995,2017.0,5,1880,6,8,5,78809.0,6,0,0,8,10
6356,29995,2012.0,11,1023,6,8,2,90585.0,0,3,0,7,8
1658,14500,2004.0,17,2231,2,5,2,134525.0,0,0,0,0,3
3424,22900,2015.0,11,1062,6,8,2,108000.0,0,0,3,13,12
8091,26995,2017.0,1,357,6,3,3,58515.0,0,0,1,9,0
6185,19995,2017.0,18,1967,0,5,2,83833.0,0,0,0,0,0
3578,2500,1997.0,37,54,1,6,2,22200.0,0,0,2,8,8
6563,38825,2016.0,12,1824,6,6,2,77625.0,0,0,0,10,10
4762,16995,2012.0,34,181,2,5,2,160152.0,0,0,2,0,10
657,52000,2017.0,17,2247,0,8,2,30030.0,0,0,3,13,5
4241,8995,2014.0,14,1945,6,8,2,95046.0,0,0,3,9,10
7843,11995,2017.0,18,1721,3,3,2,20193.0,0,1,1,9,9
6445,580,2008.0,29,106,6,5,0,89469.0,0,1,0,10,12
947,12900,2014.0,26,1735,2,3,2,120211.0,0,0,1,0,8
3747,12995,2011.0,34,1293,6,5,2,149651.0,0,0,1,0,10
3603,27995,2015.0,11,1511,6,8,2,88741.94803113553,0,1,3,13,12
1817,56900,2015.0,29,178,6,8,0,88741.94803113553,0,0,0,13,12
5750,9999,2013.0,8,755,6,3,2,71566.0,0,0,1,9,6
8422,0,2014.0,17,2248,6,5,2,38576.0,0,0,0,0,12
2949,3999,2008.0,36,2281,6,8,2,180000.0,0,0,3,13,12
3376,7900,2013.0,35,1354,6,4,2,88852.0,0,0,1,9,5
3337,3950,1996.0,17,1255,0,6,2,174300.0,0,0,0,0,10
7350,0,2012.0,5,1878,6,8,2,88741.94803113553,0,0,3,13,12
2895,17900,2017.0,2,1315,0,7,1,45000.0,0,0,2,4,10
8940,19395,2018.0,5,1436,2,8,2,33685.0,0,0,1,9,9
4671,2999,2001.0,26,1600,6,8,2,88741.94803113553,0,0,3,13,12
6979,10995,2008.0,12,368,6,8,2,116041.0,0,0,3,12,12
6855,1600,2002.0,11,1507,1,6,2,88741.94803113553,0,2,2,13,0
1976,18490,2016.0,11,1057,2,5,2,88741.94803113553,0,0,2,8,10
3781,28900,2011.0,5,1921,2,6,0,187025.0,0,0,0,10,0
5144,23844,2015.0,34,2026,3,5,2,80223.0,0,0,2,10,9
5136,25995,2014.0,29,87,2,6,2,164360.0,0,0,0,10,6
576,1200,2002.0,35,521,2,3,2,141235.0,0,1,1,2,10
5093,9675,2013.0,11,1183,0,8,3,103540.0,0,0,1,9,9
3192,4500,2006.0,6,1582,6,5,2,151469.0,0,0,1,12,9
6306,39700,2013.0,29,164,6,5,0,79490.0,0,0,0,10,12
9609,22889,2014.0,34,2033,6,5,2,119539.0,0,0,0,8,0
8321,16995,2017.0,17,1710,6,3,2,20444.0,0,0,0,0,12
3668,21775,2016.0,11,820,6,5,2,60721.0,0,0,3,0,0
2776,16800,2016.0,13,616,3,3,2,83000.0,0,0,1,3,1
2241,20000,2008.0,17,2239,0,5,2,93000.0,0,0,0,0,9
9842,8000,1998.0,12,1837,0,8,2,138500.0,0,0,0,10,12
7095,8900,2018.0,11,1108,6,3,2,37270.0,0,0,1,9,12
72,7998,2007.0,21,1751,0,8,2,105290.0,0,1,2,3,1
3171,5995,2008.0,17,1258,0,5,2,147970.0,0,0,0,0,10
8444,20999,2016.0,13,1618,6,5,2,110682.0,0,0,0,0,0
5785,5950,2004.0,17,1259,2,6,2,132297.0,4,0,0,0,12
5437,35590,2015.0,17,2247,2,5,2,25478.0,0,2,0,7,10
1357,4000,2012.0,37,597,2,3,2,160421.0,0,0,1,9,0
8161,14995,2011.0,11,998,6,8,4,163366.0,0,0,0,8,10
5526,36995,2017.0,29,107,6,8,5,103576.0,6,0,0,8,12
8811,20999,2020.0,5,1436,6,3,2,16.0,0,0,1,9,9
483,4400,2009.0,11,873,6,3,2,201114.0,0,0,2,0,0
3398,15900,2010.0,34,2026,6,8,2,166511.0,0,0,3,8,12
3916,21990,2013.0,29,32,2,6,2,49767.0,0,2,0,8,0
6244,0,2015.0,11,992,6,6,0,83136.0,0,0,0,10,12
9927,12995,2013.0,11,1130,3,5,2,88741.94803113553,0,0,2,0,10
1915,41590,2018.0,34,2182,2,6,2,35336.0,0,2,0,8,0
9773,43995,2017.0,34,2194,6,6,4,42941.0,0,0,0,8,9
4932,875,2002.0,20,2117,6,8,2,88741.94803113553,0,0,3,13,12
1676,22490,2015.0,15,1663,6,5,2,60721.0,0,0,2,9,0
1508,20990,2012.0,11,1516,2,6,2,37234.0,0,2,2,3,8
9460,14995,2017.0,18,1961,6,3,2,85872.0,0,0,1,0,8
2989,20900,2015.0,11,1062,6,8,2,149000.0,0,0,3,13,12
1577,7500,2015.0,14,1945,6,8,2,88741.94803113553,4,0,3,13,12
7795,18375,2015.0,34,1822,0,5,2,93292.0,0,0,1,5,8
438,10980,2012.0,5,526,6,8,2,92000.0,0,0,3,13,12
6349,3500,2012.0,11,1134,2,3,2,212000.0,0,0,1,9,8
3505,19000,2013.0,5,1893,6,8,2,165000.0,0,0,3,13,12
7139,22995,2016.0,8,581,6,8,2,88741.94803113553,0,0,3,9,12
6168,17995,2018.0,13,607,0,3,2,21590.0,0,0,1,9,1
1147,36995,2019.0,11,1069,6,8,2,60025.0,0,0,0,13,10
4344,18700,1980.0,5,678,0,6,2,11883.0,0,0,2,13,12
7067,4200,2012.0,34,2300,0,3,2,124000.0,0,0,1,13,5
5565,27590,2015.0,17,2251,2,5,2,41155.0,0,2,0,7,8
9664,26000,2020.0,32,1577,3,3,2,17000.0,0,0,0,12,4
3919,16590,2014.0,13,606,2,8,2,17761.0,0,0,1,3,12
1069,19990,2017.0,13,1300,2,3,2,18924.0,0,0,1,0,8
469,41800,2004.0,37,1565,6,6,0,80910.0,6,0,0,8,10
9691,36990,2012.0,33,1491,2,8,1,21216.0,0,2,2,9,9
3481,9887,2013.0,18,1959,6,3,2,128090.0,0,2,1,0,9
1089,15500,2012.0,19,1344,2,5,2,83221.0,0,0,2,9,8
1458,24477,2013.0,34,2026,6,8,2,76121.0,0,0,0,13,12
6178,8995,2012.0,14,1946,0,3,2,103551.0,0,0,1,9,1
3748,6875,2011.0,34,538,6,3,2,209677.0,0,2,1,9,9
3651,0,2008.0,19,1795,6,6,2,93629.0,0,0,2,2,3
4288,1800,2011.0,14,379,6,8,2,88741.94803113553,0,0,3,13,12
2059,3500,2011.0,26,402,6,3,2,186119.0,0,0,1,9,0
1265,11500,2011.0,34,1821,0,5,2,130560.0,0,0,3,5,5
1906,5970,2011.0,18,1969,6,3,2,163385.0,6,1,2,12,10
9105,16900,2019.0,35,1354,6,3,2,13391.0,0,0,1,9,10
9209,39888,2017.0,5,1860,6,6,2,50153.0,0,0,0,10,10
7013,25988,2008.0,11,2012,0,6,0,142307.0,0,0,0,8,0
2002,17990,2012.0,15,1197,2,5,2,68094.0,0,0,2,3,0
7829,3800,2002.0,5,430,0,6,2,149000.0,0,0,0,10,1
8342,9995,2005.0,5,424,6,8,2,117112.0,0,0,0,11,12
7938,7000,2007.0,17,642,2,6,2,138000.0,0,0,0,0,8
8255,25590,2019.0,34,1692,6,8,2,23949.0,0,0,0,12,12
4212,4899,2012.0,26,1726,6,5,2,200030.0,0,0,1,0,1
3108,3000,2006.0,37,341,6,8,2,88741.94803113553,2,2,2,13,12
8747,17999,2017.0,21,1457,6,3,2,43690.0,0,0,1,9,0
756,42995,2018.0,5,1906,0,8,0,98705.0,0,0,0,13,10
9245,18999,2013.0,1,359,6,3,2,64956.0,0,0,3,9,12
5049,9800,2008.0,12,2307,2,6,2,211000.0,0,0,2,0,0
2810,29990,2018.0,11,1046,2,5,2,19326.0,0,0,3,8,5
1671,13500,2016.0,13,1550,6,8,2,170772.0,0,0,1,13,10
1158,13995,2014.0,5,928,6,8,2,72946.0,0,0,3,13,0
6739,39950,2020.0,8,779,3,6,2,7870.0,0,0,0,0,8
2534,35995,2016.0,5,1911,6,8,5,140274.0,6,0,0,8,12
5220,2800,2000.0,17,1255,0,5,2,223000.0,0,0,2,0,10
5830,24995,2007.0,11,1089,0,6,0,164562.0,0,0,0,10,10
6323,39999,2017.0,11,949,6,5,2,70935.0,0,0,0,10,12
789,7900,2007.0,13,1556,2,5,2,76742.0,4,0,1,11,1
3269,10950,2004.0,34,668,2,3,2,118293.0,0,0,1,9,9
7141,16900,2016.0,11,912,0,5,2,122134.0,0,0,0,0,1
182,4750,2012.0,8,437,6,3,2,183489.0,0,0,1,9,9
423,6480,2013.0,14,831,6,8,2,88741.94803113553,0,0,3,13,12
722,26500,2015.0,5,1931,3,6,2,88741.94803113553,0,0,0,10,5
1094,7990,2007.0,20,2117,2,6,2,71632.0,0,0,2,9,10
8937,43999,2019.0,5,1998,6,6,2,30154.0,0,0,0,0,0
8152,10995,2008.0,3,843,6,8,2,125170.0,0,0,3,0,1
4178,14590,2012.0,34,544,2,8,2,25441.0,0,2,1,9,5
9167,25975,2019.0,5,854,6,8,2,29150.0,0,0,0,13,12
7076,8950,2004.0,29,95,2,5,0,88741.94803113553,0,0,0,13,12
3349,19988,2019.0,34,538,6,3,2,21324.0,0,0,1,9,0
71,7998,2014.0,24,684,0,8,2,112474.0,0,0,1,12,1
5591,19995,2012.0,5,1866,6,8,5,126483.0,6,0,0,8,10
5308,28590,2015.0,11,1046,2,5,2,15593.0,0,2,3,8,10
195,34588,2019.0,26,1503,6,8,2,8168.0,0,0,1,13,0
4025,12432,2017.0,26,1542,0,8,2,51000.0,4,0,3,13,10
9968,11995,2007.0,26,1165,6,8,2,109563.0,0,3,1,8,10
4585,9800,2011.0,13,687,6,8,2,113125.0,0,0,3,13,12
148,9990,2000.0,37,293,2,5,0,114702.0,0,1,2,10,10
3654,17200,2014.0,5,1860,0,5,2,88741.94803113553,0,0,2,10,9
6919,3999,2009.0,11,1134,6,3,2,145442.0,0,0,1,9,3
6308,39999,2017.0,12,1829,6,6,2,72231.0,0,0,0,10,12
7197,37500,2016.0,11,959,0,6,2,110777.0,0,0,0,10,0
8705,19999,2016.0,12,2077,6,3,2,42371.0,0,0,1,0,1
3959,17897,2016.0,3,846,6,3,2,46137.0,0,2,1,0,10
1464,19000,2008.0,11,1057,3,6,2,100944.0,0,0,0,10,8
6191,23750,2019.0,11,873,0,3,2,32342.0,0,0,0,0,1
2244,4000,2002.0,29,5,2,5,2,176537.0,0,0,2,10,8
3456,15500,2010.0,34,2026,2,5,2,191776.0,0,0,2,10,5
5204,5,2018.0,8,496,4,4,3,222222.0,4,1,2,1,8
4365,16444,2018.0,8,1367,3,3,2,32519.0,0,0,1,0,9
1478,5480,2012.0,10,197,6,8,2,88741.94803113553,0,0,3,13,12
2230,25898,2020.0,11,881,0,8,2,1067.0,0,0,3,13,12
506,19361,2016.0,11,1057,0,5,2,135686.0,0,0,0,10,10
2494,41990,2012.0,5,535,2,6,2,2778.0,0,2,2,3,8
8835,25999,2017.0,11,820,6,3,2,61670.0,0,0,0,0,5
4054,14800,2018.0,18,1971,0,3,2,23600.0,0,0,1,0,1
9399,1400,2003.0,13,600,2,3,2,170084.0,0,0,1,13,12
8927,10999,2013.0,35,1364,6,3,0,91889.0,0,0,1,12,0
5312,27590,2016.0,34,2036,2,5,2,24849.0,0,2,3,8,0
5850,36995,2015.0,29,109,3,5,0,122641.0,0,0,0,10,0
5545,7900,2010.0,34,1630,0,3,2,90000.0,4,0,1,4,9
6752,0,2016.0,5,1914,6,6,0,31663.0,0,0,0,10,12
4727,12675,2006.0,34,2026,6,5,2,193258.0,0,0,2,13,1
6260,24788,2018.0,6,133,6,5,2,20782.0,0,0,0,9,5
6491,14995,2017.0,35,1355,0,3,2,27004.0,0,0,1,9,8
3791,22990,2012.0,11,949,6,5,2,122232.0,0,0,0,8,10
1490,3499,2006.0,36,1772,6,4,2,137587.0,0,0,1,9,12
3348,19900,2013.0,22,475,6,8,2,88741.94803113553,0,0,3,13,12
