PassengerId,Survived
507,1
852,0
436,1
748,1
682,1
337,0
248,1
609,1
2,1
289,1
759,0
832,1
358,0
803,1
224,0
84,0
853,0
145,0
475,0
58,0
716,0
648,1
211,0
150,0
654,1
345,0
413,1
720,0
72,0
826,0
603,0
281,0
486,0
871,0
762,0
563,0
365,0
228,0
790,0
724,0
260,1
130,0
101,0
511,1
314,0
249,1
613,1
628,1
764,1
594,0
729,0
509,0
253,0
536,1
219,1
243,0
194,1
807,0
828,1
515,0
528,0
35,0
385,0
458,1
428,1
872,1
225,1
351,0
143,1
21,0
239,0
434,0
564,0
177,0
259,1
636,1
377,1
255,0
659,0
395,1
392,1
694,0
456,1
202,0
168,0
76,0
227,1
19,0
512,0
386,0
404,0
94,0
590,0
494,0
767,0
340,0
68,0
423,0
34,0
469,0
312,1
741,1
107,1
833,0
815,0
304,1
620,0
185,1
48,1
571,1
108,1
664,0
215,0
750,0
197,0
330,1
533,0
246,0
552,0
64,0
342,1
812,0
615,0
421,0
647,0
418,1
626,0
408,1
360,1
794,0
90,0
465,0
368,1
526,0
87,0
889,0
320,1
32,1
488,0
880,1
176,0
278,0
514,1
268,1
262,1
725,1
503,0
744,0
667,0
283,0
390,1
186,0
298,0
742,0
589,0
193,1
311,1
46,0
504,0
406,0
40,1
534,1
632,0
573,1
279,0
712,0
809,0
236,0
811,0
576,0
189,0
572,1
466,0
638,0
81,0
782,1
7,0
106,0
